,orderID,namaPesanan,recommendationShown,recommendationAccepted
0,036C3Myv8vFCvnOMFWfi,"['penyetan', 'teh']",False,False
1,07Uk5gPlDrLvT9TzMiiU,"['risol mayo', 'cireng isi']",True,False
2,07xzDQbW3ZdYe2WQdgCv,"['sayur harian', 'sayur harian', 'teh']",True,False
3,08lRV0u0wFZ9g3pYmfoj,"['mie', 'gorengan']",True,False
4,09W1VQcGW0K5rVUOcjIb,['pisang coklat keju'],True,False
5,0AM5MSIzsngCQqv7EifH,"['float', 'pisang coklat keju']",False,False
6,0BEcihNhXB1NZ48BwTon,"['mie', 'teh', 'kopi']",False,False
7,0BjZUjEZAluWHWmVPD9U,['penyetan'],True,True
8,0BnVgILcXiP9lN5WYvXq,['risol mayo'],True,False
9,0C6hnbXmBf59TPxJ1dI1,['mie'],False,False
10,0CLZikW8WeT05ZwHGU7l,['float'],True,False
11,0CW0PRTJ5RGhM4HZH0KT,['teh'],False,False
12,0Clh7uWoKbNfA5D7w2WV,"['sayur harian', 'es jeruk', 'teh', 'sayur harian']",True,True
13,0EOtZqJ9dh0KGaU7lohE,['gorengan'],True,False
14,0FCHQ52IiaeSWDPpHa3J,"['risol mayo', 'float']",True,False
15,0HKZxACP5IVX1PgJRL75,"['mie', 'nasi putih']",True,False
16,0JRDi37VJ2LTKiRpShtO,"['sosis goreng', 'teh']",True,False
17,0LRGzfh8kDtMiGJH7gKZ,['teh'],True,False
18,0M42CYs4wcU13xahxyYX,['kopi'],False,False
19,0M4clAM7aCx5VgqVG8tp,"['teh', 'teh']",False,False
20,0MXp2h4oKkLXzryV8GfY,['kopi'],True,False
21,0NgwBKBGKst7SweI40Sp,['kopi'],False,False
22,0Q1crOV34vrkp8lVftvC,"['sayur harian', 'gorengan']",True,False
23,0RntP7aHxs0hG05BTyEv,"['mie', 'mie', 'teh', 'es jeruk']",False,False
24,0SFIBicV9U4hpkxee92H,['kopi'],True,False
25,0TkOw62zjUyWpTQm1hrz,"['penyetan', 'mie', 'float', 'float']",True,False
26,0TxjyooUoK91VfZRkI7w,['float'],False,False
27,0V8qyYsrQfhP17nirfjM,"['kopi', 'gorengan']",True,False
28,0YPJaQNW2ngyeTEChUKp,['mie'],False,False
29,0Yjjfiu4jfJRQJZHyj7w,['kopi'],True,False
30,0YrfVGiY2tjdGSA5q1oW,"['cireng isi', 'risol mayo']",True,False
31,0ZUR3U0rnMKWr9A1EvhO,"['pisang coklat keju', 'risol mayo', 'gorengan']",True,False
32,0ZoUwPS54Slv4Eg0Aqkz,"['french fries', 'mie', 'teh']",True,True
33,0bxnw9LJ3s1mQmBLai3o,['kopi'],True,False
34,0bzj8ElpKih0oPgVYoC0,"['cireng isi', 'gorengan', 'kopi']",True,False
35,0eBavsyIpLjlUac1fZsD,['teh'],True,False
36,0eE5GMGIf7msLuhLSzM6,"['french fries', 'sosis goreng', 'kopi']",True,False
37,0fJQBAcmp2q3ddBZUrvi,"['gorengan', 'gorengan']",True,False
38,0gKefBj5yzpOmSmw5CX1,['kopi'],False,False
39,0gTvmxEooN6FUHwOr8DF,"['cireng isi', 'sosis goreng']",True,False
40,0hJiZplxd0ULteLfLcb5,['penyetan'],True,False
41,0hPddZ7jkNQMKRS4cmoT,"['nasi goreng', 'teh']",True,True
42,0i4nKqywDpVPdpmTDNqp,['risol mayo'],True,False
43,0ipbNb6wVtmLvIvLEK5S,['cireng isi'],False,False
44,0jAMSvAT0C5DAzmX52hg,"['teh', 'sosis goreng']",True,False
45,0kEJ9aiVgPVnDAW14iuQ,['risol mayo'],True,False
46,0ll8cGGoPDFUay3UtXN0,['mie'],True,False
47,0mUjMNSJC3acBxTq5SgJ,['risol mayo'],False,False
48,0n9IYOQKGgi3MeTzWKzY,"['risol mayo', 'cireng isi']",False,False
49,0nfx6G7DnwNKdNn3qYPB,['teh'],True,False
50,0oPE7SukvPFgomBCPHAu,"['mie', 'sosis goreng', 'es jeruk']",True,False
51,0oYMOfM1VrRBBUcXGSw3,['risol mayo'],True,False
52,0sS4N6lJSYMKPej8eK9J,"['gorengan', 'cireng isi']",True,False
53,0sk2r1bUJuScgm6WWnAv,"['es krim', 'teh', 'float', 'french fries', 'risol mayo', 'gorengan', 'cireng isi']",True,True
54,0t0WsrvCxvdh60RtGBzK,"['nasi goreng', 'telur', 'teh', 'kopi', 'es jeruk', 'penyetan']",True,False
55,0wWuc7MHnJmGgUENHFtt,"['mie', 'teh']",True,True
56,0ybqmVGrBHItrNu1hJG8,['gorengan'],True,False
57,10Hdp6F8ABXKLm3QLpkd,"['mie', 'kopi', 'cireng isi', 'gorengan']",True,False
58,10UX7rHxlOWBJs77LKti,['risol mayo'],True,False
59,10iu3ycfZ90ZXTXLR3Fz,"['gorengan', 'cireng isi']",True,False
60,11n3kklDtXvSPlKOuoUI,"['risol mayo', 'french fries']",False,False
61,12KiLdBDPyooxQBBg9IP,"['penyetan', 'teh', 'gorengan', 'cireng isi', 'sosis goreng']",True,False
62,13gxHfCy3mm8KPP5ED4V,"['penyetan', 'teh', 'kopi', 'mie']",True,False
63,14xXOkwRGXhkCruIu4Y4,"['kopi', 'float']",True,False
64,1864mWICgguSLr2j0Ton,"['penyetan', 'penyetan', 'gorengan']",True,False
65,1885QsWe8CqD7OOUJSZd,"['risol mayo', 'teh']",True,True
66,1APvaPzZHlu2P4ibr1yF,"['mie', 'risol mayo']",False,False
67,1AejBrncsvzBNaDz5FDQ,"['es krim', 'es batu']",True,False
68,1BzHGpSrRnx3o7uJX5J0,"['penyetan', 'es jeruk', 'pisang coklat keju']",False,False
69,1CEjT9Q4LfEVDMMWnTuZ,"['risol mayo', 'cireng isi']",True,False
70,1DWn0Loxn3VgVpxJ81ur,['gorengan'],True,False
71,1E4kYOCELCV2jnz6hsyn,['cireng isi'],True,False
72,1FZz6bW0ITfqOBVdodll,"['sosis goreng', 'teh']",True,False
73,1GRMNf0DG4ZCpi8ZoRtV,['air putih'],True,False
74,1HNBJEGB0lg9ZpMTmRHu,"['teh', 'pisang coklat keju']",True,False
75,1IC6XtCM9pUdU8whtbPk,['gorengan'],True,False
76,1IUnP0xQqrZHR3EyzU27,"['penyetan', 'kopi', 'teh', 'cireng isi', 'risol mayo', 'pisang coklat keju']",True,False
77,1L5sfDf5fO1CYmxb09sK,['penyetan'],False,False
78,1MsREDV9KjqS5MmJ0fcU,['risol mayo'],True,False
79,1OHhoy1zg8wEi54D77xr,"['risol mayo', 'penyetan']",False,False
80,1QxuUpq2I0RqETlexycy,['gorengan'],True,False
81,1RbEgeyVx0SiIb2DUAdQ,"['risol mayo', 'pisang coklat keju']",True,False
82,1Rgb0pBfF9fvdiJQEIby,"['penyetan', 'es jeruk', 'gorengan']",True,False
83,1RpgAkBLVECSrtBUZLFx,"['kopi', 'kopi', 'kopi']",True,False
84,1S86e7ZHltkyAsB2Yk6x,['risol mayo'],True,False
85,1S9BzueZMcj9nQaObYa2,['risol mayo'],True,False
86,1TL7BpcXnjyUiQ3D75nX,['french fries'],True,False
87,1VCqxBpdOMP2AP144Eqh,['risol mayo'],True,False
88,1VIRiUEm1MSZHpXoKySV,['risol mayo'],True,False
89,1Wl9NdGmHbRgYPw9seAY,['pisang coklat keju'],True,False
90,1WmxjMZOa6fpqRjN8vvv,"['risol mayo', 'cireng isi', 'teh']",True,False
91,1WrJcwVYzFqQkcFJAjHh,"['float', 'cireng isi']",False,False
92,1WttfS1cL6OadCAHSChL,"['teh', 'mie']",True,False
